,省市,上榜数量
0,辽宁,6
1,广东,5
2,山东,5
3,安徽,4
4,河北,4
5,江苏,4
6,广西,4
7,四川,4
8,黑龙江,4
9,贵州,3
10,浙江,3
11,山西,3
12,北京,3
13,内蒙古,2
14,云南,2
15,江西,2
16,吉林,2
17,陕西,2
18,湖南,2
19,天津,2
20,河南,2
21,福建,2
22,湖北,2
23,宁夏,1
24,重庆,1
25,海南,1
26,新疆,1
27,西藏,1
28,上海,1
29,甘肃,1
