,排名,学校名称,省市,类型,总分
501,502,河南牧业经济学院,河南,农业,76.8
502,503,怀化学院,湖南,综合,76.4
503,503,张家口学院,河北,综合,76.4
504,505,安阳工学院,河南,理工,75.8
505,505,河池学院,广西,综合,75.8
506,507,桂林航天工业学院,广西,理工,75.6
507,508,四川民族学院,四川,师范,75.4
508,509,湖南工学院,湖南,理工,75
509,510,百色学院,广西,综合,74.7
510,511,兰州城市学院,甘肃,综合,74.5
511,511,榆林学院,陕西,师范,74.5
512,513,兴义民族师范学院,贵州,师范,74.4
513,514,河西学院,甘肃,综合,73.6
514,515,保山学院,云南,师范,73.3
515,516,太原工业学院,山西,理工,73.2
516,517,商洛学院,陕西,综合,73.1
517,518,湖南人文科技学院,湖南,师范,73
518,519,新余学院,江西,综合,72.8
519,520,天水师范学院,甘肃,师范,72.7
520,521,忻州师范学院,山西,师范,72.6
521,522,吉林农业科技学院,吉林,农业,72.4
522,523,枣庄学院,山东,综合,72.2
523,524,普洱学院,云南,师范,72.1
524,524,郑州工程技术学院,河南,理工,72.1
525,526,河北环境工程学院,河北,综合,71.8
526,527,山东青年政治学院,山东,综合,71.7
527,528,晋中学院,山西,师范,71.6
528,528,绥化学院,黑龙江,综合,71.6
529,530,安康学院,陕西,综合,71.3
530,530,文山学院,云南,师范,71.3
531,532,运城学院,山西,师范,71.1
532,533,陇东学院,甘肃,师范,70.2
533,534,景德镇学院,江西,综合,70.1
534,535,滇西科技师范学院,云南,师范,69.8
535,536,长沙师范学院,湖南,师范,69.7
536,537,兰州工业学院,甘肃,理工,69.6
537,538,济宁学院,山东,师范,69.2
538,539,琼台师范学院,海南,师范,69
539,540,山东女子学院,山东,综合,68.9
540,540,陕西学前师范学院,陕西,师范,68.9
541,542,豫章师范学院,江西,师范,68.6
542,543,昭通学院,云南,师范,68.5
543,544,河南工学院,河南,理工,68.4
544,545,新疆理工学院,新疆,综合,68
545,546,汉江师范学院,湖北,师范,67.8
546,547,菏泽学院,山东,综合,67.1
547,548,新疆工程学院,新疆,理工,66.6
548,549,昌吉学院,新疆,师范,66.5
549,550,鄂尔多斯应用技术学院,内蒙古,综合,65.8
550,550,萍乡学院,江西,综合,65.8
551,550,山西能源学院,山西,综合,65.8
552,553,河套学院,内蒙古,综合,65.7
553,554,福建技术师范学院,福建,师范,65.5
554,555,黑龙江工业学院,黑龙江,理工,65.4
555,556,兰州文理学院,甘肃,综合,65.1
556,557,长治学院,山西,师范,64.9
557,558,山东管理学院,山东,综合,64.1
558,559,集宁师范学院,内蒙古,师范,64
559,559,吕梁学院,山西,师范,64
560,561,山西工程技术学院,山西,理工,63.6
561,562,甘肃民族师范学院,甘肃,师范,63
562,563,山东农业工程学院,山东,综合,62.6
563,564,西安航空学院,陕西,理工,62.4
564,565,太原学院,山西,理工,60
565,566,亳州学院,安徽,师范,58.9
566,567,首钢工学院,北京,理工,55.9
