,省市,上榜数量
0,江苏,35
1,山东,32
2,河南,31
3,北京,28
4,辽宁,27
5,陕西,26
6,湖南,25
7,广东,25
8,四川,25
9,河北,25
10,湖北,25
11,安徽,24
12,浙江,21
13,江西,20
14,黑龙江,19
15,吉林,18
16,上海,18
17,山西,17
18,福建,17
19,云南,16
20,广西,14
21,贵州,13
22,内蒙古,12
23,甘肃,12
24,重庆,11
25,天津,11
26,新疆,10
27,海南,4
28,青海,2
29,西藏,2
30,宁夏,2
